"AMA INA","Basin","Subbasin","YEAR","Owner or BMP Operator","Right Number","Right Type","Well Id","CADASTRAL","AF Pumped","Movement Type","Water Type","LAT_DEGREES","LAT_MINUTES","LAT_SECONDS","LONG_DEGREES","LONG_MINUTES","LONG_SECONDS","PROGRAM"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1994","SUN LAKES MARKETING LP","58-130460.0001","IRRIGATION USE","625793","D-01-05 32DDD","290.96","WITHDRAWAL","GROUNDWATER","33","17","30.4","111","51","33.3","58"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1994","SUN LAKES MARKETING LP","58-130460.0001","IRRIGATION USE","625795","D-02-05 04CBA","361.4","WITHDRAWAL","GROUNDWATER","33","16","55","111","51","16","58"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1994","PIMA UTILITIES COMPANY","56-002031.0000","LARGE MUNICIPAL PROVIDER MNPCCP","625796","D-02-05 29AAA","263.49","WITHDRAWAL","GROUNDWATER","33","13","57.7","111","51","30.9","56"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1994","SUN LAKES MARKETING LP","58-130460.0001","IRRIGATION USE","625797","D-02-05 20DAD","951.2","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1994","PIMA UTILITIES COMPANY","56-002031.0000","LARGE MUNICIPAL PROVIDER MNPCCP","625798","D-02-05 31DDD","751.37","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1994","PIMA UTILITIES COMPANY","56-002031.0000","LARGE MUNICIPAL PROVIDER MNPCCP","625799","D-02-05 32AAD","1235.14","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1994","PIMA UTILITIES COMPANY","56-002031.0000","LARGE MUNICIPAL PROVIDER MNPCCP","625800","D-02-05 32CDD","463.57","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","PROPERTY RESERVE INC","58-102053.0003","IRRIGATION USE","625813","B-03-01 18BBC","13.38","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","PROPERTY RESERVE INC","58-102053.0003","IRRIGATION USE","625814","B-03-01 18BBB","14.75","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","PROPERTY RESERVE INC","58-130081.0003","IRRIGATION USE","625815","B-03-01 28ADD","197.44","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","SABBAGH ADIB","58-112824.0001","TYPE 2 NON-IRRIGATION GFR","625819","D-14-16 06DBC","19.52","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","GATOR WATER CO","56-000092.0000","SMALL MUNICIPAL PROVIDER","625873","D-12-12 14BBB","27.61","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","1994","CHARLES ROBERTS TRANE AIR CONDITIONING INC","58-100846.0000","IRRIGATION USE","625884","B-06-04 10ADB","33.65","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","LMC CERRO VISTA HOLDINGS LLC","58-113896.0000","IRRIGATION USE","625896","B-01-01 01CBC","521.11","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","DISCOVERY WEST RANCHES","58-113079.0003","IRRIGATION USE","625903","B-01-02 30ABB","1326.9","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","DISCOVERY WEST RANCHES","58-113079.0003","IRRIGATION USE","625904","B-01-02 29CBA","1153.4","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1994","FIRST AMERICAN TITLE INSURANCE CO OF AZ","58-111156.0002","TYPE 2 NON-IRRIGATION GFR","625916","D-02-08 31DCC","198","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1994","FIRST AMERICAN TITLE INSURANCE","58-113495.0006","IRRIGATION USE","625917","D-03-08 06DDA","475","WITHDRAWAL","GROUNDWATER","33","11","54","111","33","53","58"
